Map name,Tier,Type,Stages/Cps,Bonuses
surf_finesse_final,4,Staged,6,0
surf_fire_eye,4,Linear,2,0
surf_forbidden_tomb,4,Staged,8,0
surf_forbidden_tomb2,4,Staged,8,0
surf_forbidden_tomb3,4,Staged,8,0
surf_forbidden_tomb4,4,Linear,7,0
surf_fortress_ksf,4,Staged,6,6
surf_freedom,4,Staged,5,0
surf_fuckyall,4,Staged,3,1
surf_fungus,4,Linear,5,5
surf_gauntlet_final,4,Linear,3,0
surf_gekar,4,Staged,4,2
surf_ghost_busters,4,Staged,16,1
surf_goldarn,4,Linear,5,1
surf_greenhouse,4,Linear,5,1
surf_grotto,4,Staged,6,3
surf_halloween_fix,4,Staged,5,2
surf_happyhug,4,Staged,16,4
surf_hektik,4,Linear,4,5
surf_hope,4,Staged,3,1
surf_hydrogen,4,Linear,5,0
surf_hyper,4,Staged,5,1
surf_hyper2,4,Staged,5,1
surf_illumination,4,Linear,6,6
surf_illumination2,4,Staged,6,3
surf_infected,4,Linear,4,0
surf_inferno,4,Linear,4,2
surf_infrared,4,Staged,6,5
surf_injection_njv,4,Staged,7,1
surf_inrage2,4,Linear,4,1
surf_insignia_b1,4,Staged,5,0
surf_intense_ksf,4,Staged,4,2
surf_interceptor,4,Staged,5,0
surf_ixtab,4,Staged,6,1
surf_jagerbomb,4,Staged,4,2
surf_jaqen,4,Linear,4,3
surf_jive,4,Linear,4,2
surf_jizznipples,4,Staged,5,0
surf_junglespic_ksf,4,Linear,6,0
surf_kalium,4,Staged,3,1
surf_koa,4,Linear,4,1
surf_lab,4,Linear,5,2
surf_lax,4,Staged,7,3
surf_lepidus,4,Staged,7,1
surf_limbo,4,Linear,6,2
surf_lithium2,4,Staged,5,0
surf_loves_spliff,4,Staged,7,1
surf_loweffort,4,Staged,5,1
surf_lt_unicorn,4,Staged-Linear,6,4
surf_medley_fix,4,Staged,7,4
surf_memories,4,Staged,5,2
surf_mephobia_final,4,Staged,6,1
surf_metalwall,4,Linear,4,0
surf_monotony_ksf,4,Staged,5,2
surf_morbid2,4,Staged,6,2
surf_mudkip,4,Linear,5,5
surf_nemesis,4,Linear,5,2
surf_neoplasma_ksf,4,Staged,6,2
surf_neoteric_retexture,4,Staged,5,4
surf_nikolo,4,Linear,3,0
surf_nocturn,4,Staged,5,2
surf_not_so_quick,4,Staged,4,6
surf_oddworld,4,Staged,6,2
surf_orbion,4,Staged,6,0
surf_outra,4,Linear,4,3
surf_overgrowth,4,Staged,5,2
surf_overgrowth2,4,Staged,5,2
surf_pancake,4,Linear,4,1
surf_paradigm,4,Linear,4,3
surf_parrot_selector_h,4,Linear,5,0
surf_pogchamp,4,Staged,4,0
surf_polygon,4,Staged,4,4
surf_proliferation,4,Staged,5,2
surf_prolix_fix,4,Linear,4,0
surf_prosperity_v2,4,Staged,7,0
surf_pure,4,Staged,7,0
